id,key,tipo,reg,control,cultivar,ano,quantidade
37,25-37,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Brandy,Brandy (conhaque),1971,9893167
38,25-38,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Cooler,Cooler,1971,0
39,25-39,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Coquetel,Coquetel com vinho,1971,0
40,25-40,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Destilado,Destilado de vinho,1971,1023876
41,25-41,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Filtrado_doce,Filtrado doce,1971,432991
42,25-42,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Jeropiga,Jeropiga,1971,0
43,25-43,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Mistelas,Mistelas,1971,81510
44,25-44,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Mosto_concentrado,Mosto concentrado,1971,20502
45,25-45,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Mosto_uva,Mosto de uva,1971,0
46,25-46,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Mosto_sulfitado,Mosto sulfitado,1971,410850
47,25-47,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Nectar,Nectar de uva,1971,0
48,25-48,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Outros_produtos,Outros produtos,1971,0
49,25-49,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Polpa,Polpa de uva,1971,0
50,25-50,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Preparado_líquido,Preparado líquido para refresco,1971,0
51,25-51,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Refrigerante,Refrigerante +50% suco,1971,0
52,25-52,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Sangria,Sangria,1971,0
53,25-53,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Vinagre_balsamico,Vinagre balsamico,1971,0
54,25-54,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Vinagre_duplo,Vinagre duplo,1971,0
55,25-55,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Vinagre_simples,Vinagre simples,1971,1256068
56,25-56,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Vinho_acetificado,Vinho acetificado,1971,0
57,25-57,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Vinho_base,Vinho base para espumantes,1971,0
58,25-58,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Vinho_composto,Vinho composto,1971,3645774
59,25-59,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Vinho_licoroso,Vinho licoroso,1971,2475632
60,25-60,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Vinho_leve,Vinho leve,1971,0
61,25-61,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Vinho_gaseificado,Vinho gaseificado,1971,0
1,1-1,VINHO DE MESA,SINTETICO,VINHO DE MESA,VINHO DE MESA,1972,118377367
2,1-2,VINHO DE MESA,ANALITICO,vm_Tinto,Tinto,1972,101167932
3,1-3,VINHO DE MESA,ANALITICO,vm_Rosado,Rosado,1972,7770851
4,1-4,VINHO DE MESA,ANALITICO,vm_Branco,Branco,1972,9438584
5,5-5,VINHO  FINO DE MESA,SINTETICO,VINHO  FINO DE MESA,VINHO  FINO DE MESA,1972,5602091
6,5-6,VINHO  FINO DE MESA,ANALITICO,vm_Tinto,Tinto,1972,624499
7,5-7,VINHO  FINO DE MESA,ANALITICO,vm_Rosado,Rosado,1972,403664
8,5-8,VINHO  FINO DE MESA,ANALITICO,vm_Branco,Branco,1972,4573928
9,9-9,VINHO FRIZANTE,SINTETICO,VINHO FRIZANTE,VINHO FRIZANTE,1972,356340
10,10-10,VINHO ORGÂNICO,SINTETICO,VINHO ORGÂNICO,VINHO ORGÂNICO,1972,0
11,11-11,VINHO ESPECIAL,SINTETICO,VINHO ESPECIAL,VINHO ESPECIAL,1972,8737605
12,11-12,VINHO ESPECIAL,ANALITICO,ve_Tinto,Tinto,1972,4347706
13,11-13,VINHO ESPECIAL,ANALITICO,ve_Rosado,Rosado,1972,1901801
14,11-14,VINHO ESPECIAL,ANALITICO,ve_Branco,Branco,1972,2488098
15,15-15,ESPUMANTES ,SINTETICO,ESPUMANTES ,ESPUMANTES,1972,3523335
16,15-16,ESPUMANTES ,ANALITICO,es_Espumante_Moscatel,Espumante  Moscatel,1972,0
17,15-17,ESPUMANTES ,ANALITICO,es_Espumante,Espumante,1972,0
18,15-18,ESPUMANTES ,ANALITICO,es_Espumante Orgânico,Espumante Orgânico,1972,0
19,19-19,SUCO DE UVAS,SINTETICO,SUCO DE UVAS,SUCO DE UVAS,1972,4069351
20,19-20,SUCO DE UVAS,ANALITICO,su_Suco_Natural,Suco Natural Integral,1972,0
21,19-21,SUCO DE UVAS,ANALITICO,su_Suco_Reprocessado,Suco Reprocessado/reconstituido,1972,0
22,19-22,SUCO DE UVAS,ANALITICO,su_Suco_Orgânico,Suco Orgânico,1972,0
23,19-23,SUCO DE UVAS,ANALITICO,su_Outros_sucos,Outros sucos de uvas,1972,0
24,24-24,SUCO DE UVAS CONCENTRADO,SINTETICO,SUCO DE UVAS CONCENTRADO,SUCO DE UVAS CONCENTRADO,1972,59044
25,25-25,OUTROS PRODUTOS COMERCIALIZADOS,SINTETICO,OUTROS PRODUTOS COMERCIALIZADOS,OUTROS PRODUTOS COMERCIALIZADOS,1972,23615205
26,25-26,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Outros vinhos (sem informdetalhada,Outros vinhos (sem informação detalhada),1972,0
27,25-27,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Agrin,"Agrin (fermentado, acetico misto)",1972,0
28,25-28,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Aguardente,Aguardente de vinho 50°gl,1972,0
29,25-29,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Alcool_vinico,Alcool vinico,1972,0
30,25-30,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Bagaceira,Bagaceira (graspa),1972,1059696
31,25-31,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Base_champenoise,Base champenoise champanha,1972,0
32,25-32,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Base_charmat,Base charmat champanha,1972,0
33,25-33,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Base_espumante,Base espumante moscatel,1972,0
34,25-34,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Bebida,Bebida de uva,1972,0
35,25-35,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Borra_liqwuida,Borra líquida,1972,0
36,25-36,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Borra_seca,Borra seca,1972,0
37,25-37,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Brandy,Brandy (conhaque),1972,11876098
38,25-38,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Cooler,Cooler,1972,0
39,25-39,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Coquetel,Coquetel com vinho,1972,0
40,25-40,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Destilado,Destilado de vinho,1972,1573023
41,25-41,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Filtrado_doce,Filtrado doce,1972,670626
42,25-42,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Jeropiga,Jeropiga,1972,0
43,25-43,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Mistelas,Mistelas,1972,133865
44,25-44,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Mosto_concentrado,Mosto concentrado,1972,0
45,25-45,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Mosto_uva,Mosto de uva,1972,0
46,25-46,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Mosto_sulfitado,Mosto sulfitado,1972,447600
47,25-47,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Nectar,Nectar de uva,1972,0
48,25-48,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Outros_produtos,Outros produtos,1972,0
49,25-49,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Polpa,Polpa de uva,1972,0
